SNAPSHOT_DATE|SNAPSHOT_MONTH_KEY|ACCOUNT_ID|CUSTOMER_ID|BRANCH_ID|PRODUCT_ID|OPENING_BALANCE|CLOSING_BALANCE|TOTAL_DEBITS|TOTAL_CREDITS|DEBIT_COUNT|CREDIT_COUNT|FEES_CHARGED|INTEREST_CHARGED|CURRENCY_CODE|ETL_BATCH_ID
2025-04-30|202504|ACCT-NO-100001|1001|101|1|165755.41|165705.71|7314.56|7264.86|6|3|43.56|248.56|NOK|20240015
2025-05-31|202505|ACCT-NO-100001|1001|101|1|165556.08|168154.11|6123.28|8721.31|7|4|26.23|252.23|NOK|20240016
2025-06-30|202506|ACCT-NO-100001|1001|101|1|165356.75|170602.5|4932.0|10177.75|8|5|28.9|255.9|NOK|20240017
2025-07-31|202507|ACCT-NO-100001|1001|101|1|165157.43|173050.9|3740.72|11634.19|9|6|31.58|259.58|NOK|20240018
2025-08-31|202508|ACCT-NO-100001|1001|101|1|191958.11|185499.3|10549.44|4090.63|10|7|49.25|278.25|NOK|20240019
2025-09-30|202509|ACCT-NO-100001|1001|101|1|191758.79|187947.7|9358.16|5547.07|11|3|31.92|281.92|NOK|20240020
2025-10-31|202510|ACCT-NO-100001|1001|101|1|191559.47|190396.1|8166.88|7003.51|5|4|34.59|285.59|NOK|20240021
2025-11-30|202511|ACCT-NO-100001|1001|101|1|191360.15|192844.5|6975.6|8459.95|6|5|37.27|289.27|NOK|20240022
2025-12-31|202512|ACCT-NO-100001|1001|101|1|191160.83|195292.9|5784.32|9916.39|7|6|39.94|292.94|NOK|20240023
2024-01-31|202401|ACCT-NO-100002|1001|101|2|139745.22|133979.71|9183.77|3418.26|5|3|33.47|200.97|NOK|20240000
2024-02-29|202402|ACCT-NO-100002|1001|101|2|140545.9|137428.11|7992.49|4874.7|6|4|36.14|206.14|NOK|20240001
2024-03-31|202403|ACCT-NO-100002|1001|101|2|141346.58|140876.51|6801.21|6331.14|7|5|38.81|211.31|NOK|20240002
2024-04-30|202404|ACCT-NO-100002|1001|101|2|142147.26|144324.91|5609.93|7787.58|8|6|41.49|216.49|NOK|20240003
2024-05-31|202405|ACCT-NO-100002|1001|101|2|142947.94|147773.31|4418.65|9244.02|9|7|24.16|221.66|NOK|20240004
2024-06-30|202406|ACCT-NO-100002|1001|101|2|143748.62|151221.71|3227.37|10700.46|10|3|26.83|226.83|NOK|20240005
2024-07-31|202407|ACCT-NO-100002|1001|101|2|171549.3|164670.11|10036.09|3156.9|11|4|44.51|247.01|NOK|20240006
2024-08-31|202408|ACCT-NO-100002|1001|101|2|172349.98|168118.51|8844.81|4613.34|5|5|47.18|252.18|NOK|20240007
2024-09-30|202409|ACCT-NO-100002|1001|101|2|173150.66|171566.91|7653.53|6069.78|6|6|29.85|257.35|NOK|20240008
2024-10-31|202410|ACCT-NO-100002|1001|101|2|173951.34|175015.31|6462.25|7526.22|7|7|32.52|262.52|NOK|20240009
2024-11-30|202411|ACCT-NO-100002|1001|101|2|174752.02|178463.71|5270.97|8982.66|8|3|35.2|267.7|NOK|20240010
2024-12-31|202412|ACCT-NO-100002|1001|101|2|175552.7|181912.11|4079.69|10439.1|9|4|37.87|272.87|NOK|20240011
2025-01-31|202501|ACCT-NO-100002|1001|101|2|176353.38|185360.51|2888.41|11895.54|10|5|20.54|278.04|NOK|20240012
2025-02-28|202502|ACCT-NO-100002|1001|101|2|204154.06|198808.91|9697.13|4351.98|11|6|38.21|298.21|NOK|20240013
2025-03-31|202503|ACCT-NO-100002|1001|101|2|204954.73|202257.31|8505.84|5808.42|5|7|40.89|303.39|NOK|20240014
2025-04-30|202504|ACCT-NO-100002|1001|101|2|205755.41|205705.71|7314.56|7264.86|6|3|43.56|308.56|NOK|20240015
2025-05-31|202505|ACCT-NO-100002|1001|101|2|206556.08|209154.11|6123.28|8721.31|7|4|26.23|313.73|NOK|20240016
2025-06-30|202506|ACCT-NO-100002|1001|101|2|207356.75|212602.5|4932.0|10177.75|8|5|28.9|318.9|NOK|20240017
2025-07-31|202507|ACCT-NO-100002|1001|101|2|208157.43|216050.9|3740.72|11634.19|9|6|31.58|324.08|NOK|20240018
2025-08-31|202508|ACCT-NO-100002|1001|101|2|235958.11|229499.3|10549.44|4090.63|10|7|49.25|344.25|NOK|20240019
2025-09-30|202509|ACCT-NO-100002|1001|101|2|236758.79|232947.7|9358.16|5547.07|11|3|31.92|349.42|NOK|20240020
2025-10-31|202510|ACCT-NO-100002|1001|101|2|237559.47|236396.1|8166.88|7003.51|5|4|34.59|354.59|NOK|20240021
2025-11-30|202511|ACCT-NO-100002|1001|101|2|238360.15|239844.5|6975.6|8459.95|6|5|37.27|359.77|NOK|20240022
2025-12-31|202512|ACCT-NO-100002|1001|101|2|239160.83|243292.9|5784.32|9916.39|7|6|39.94|364.94|NOK|20240023
2024-01-31|202401|ACCT-NO-100003|1002|102|1|156111.6|155782.07|6625.66|6296.13|5|3|28.67|233.67|NOK|20240000
2024-02-29|202402|ACCT-NO-100003|1002|102|1|157912.28|160230.47|5434.38|7752.57|6|4|31.35|240.35|NOK|20240001
2024-03-31|202403|ACCT-NO-100003|1002|102|1|159712.96|164678.87|4243.1|9209.01|7|5|34.02|247.02|NOK|20240002
2024-04-30|202404|ACCT-NO-100003|1002|102|1|161513.64|169127.27|3051.82|10665.45|8|6|36.69|253.69|NOK|20240003
2024-05-31|202405|ACCT-NO-100003|1002|102|1|190314.31|183575.67|9860.54|3121.9|9|7|34.36|275.36|NOK|20240004
2024-06-30|202406|ACCT-NO-100003|1002|102|1|192114.99|188024.07|8669.26|4578.34|10|3|37.04|282.04|NOK|20240005
2024-07-31|202407|ACCT-NO-100003|1002|102|1|193915.67|192472.47|7477.98|6034.78|11|4|39.71|288.71|NOK|20240006
2024-08-31|202408|ACCT-NO-100003|1002|102|1|195716.35|196920.87|6286.7|7491.22|5|5|42.38|295.38|NOK|20240007
2024-09-30|202409|ACCT-NO-100003|1002|102|1|197517.03|201369.27|5095.42|8947.66|6|6|25.05|302.05|NOK|20240008
2024-10-31|202410|ACCT-NO-100003|1002|102|1|199317.71|205817.67|3904.14|10404.1|7|7|27.73|308.73|NOK|20240009
2024-11-30|202411|ACCT-NO-100003|1002|102|1|201118.39|210266.07|2712.86|11860.54|8|3|30.4|315.4|NOK|20240010
2024-12-31|202412|ACCT-NO-100003|1002|102|1|229919.07|224714.47|9521.58|4316.98|9|4|48.07|337.07|NOK|20240011
2025-01-31|202501|ACCT-NO-100003|1002|102|1|231719.75|229162.87|8330.3|5773.42|10|5|30.74|343.74|NOK|20240012
2025-02-28|202502|ACCT-NO-100003|1002|102|1|233520.43|233611.27|7139.02|7229.86|11|6|33.42|350.42|NOK|20240013
2025-03-31|202503|ACCT-NO-100003|1002|102|1|235321.11|238059.67|5947.74|8686.3|5|7|36.09|357.09|NOK|20240014
2025-04-30|202504|ACCT-NO-100003|1002|102|1|237121.78|242508.07|4756.45|10142.74|6|3|38.76|363.76|NOK|20240015
2025-05-31|202505|ACCT-NO-100003|1002|102|1|238922.46|246956.47|3565.17|11599.18|7|4|21.43|370.43|NOK|20240016
2025-06-30|202506|ACCT-NO-100003|1002|102|1|267723.14|261404.87|10373.89|4055.62|8|5|39.11|392.11|NOK|20240017
2025-07-31|202507|ACCT-NO-100003|1002|102|1|269523.82|265853.27|9182.61|5512.06|9|6|41.78|398.78|NOK|20240018
2025-08-31|202508|ACCT-NO-100003|1002|102|1|271324.5|270301.67|7991.33|6968.5|10|7|44.45|405.45|NOK|20240019
2025-09-30|202509|ACCT-NO-100003|1002|102|1|273125.18|274750.07|6800.05|8424.94|11|3|27.13|412.13|NOK|20240020
2025-10-31|202510|ACCT-NO-100003|1002|102|1|274925.86|279198.47|5608.77|9881.38|5|4|29.8|418.8|NOK|20240021
2025-11-30|202511|ACCT-NO-100003|1002|102|1|276726.54|283646.87|4417.49|11337.82|6|5|32.47|425.47|NOK|20240022
2025-12-31|202512|ACCT-NO-100003|1002|102|1|278527.22|288095.27|3226.21|12794.26|7|6|35.14|432.14|NOK|20240023
2024-01-31|202401|ACCT-NO-100004|1002|102|5|181111.6|180782.07|6625.66|6296.13|5|3|28.67|271.17|NOK|20240000
2024-02-29|202402|ACCT-NO-100004|1002|102|5|183912.28|186230.47|5434.38|7752.57|6|4|31.35|279.35|NOK|20240001
2024-03-31|202403|ACCT-NO-100004|1002|102|5|186712.96|191678.87|4243.1|9209.01|7|5|34.02|287.52|NOK|20240002
2024-04-30|202404|ACCT-NO-100004|1002|102|5|189513.64|197127.27|3051.82|10665.45|8|6|36.69|295.69|NOK|20240003
2024-05-31|202405|ACCT-NO-100004|1002|102|5|219314.31|212575.67|9860.54|3121.9|9|7|34.36|318.86|NOK|20240004
2024-06-30|202406|ACCT-NO-100004|1002|102|5|222114.99|218024.07|8669.26|4578.34|10|3|37.04|327.04|NOK|20240005
2024-07-31|202407|ACCT-NO-100004|1002|102|5|224915.67|223472.47|7477.98|6034.78|11|4|39.71|335.21|NOK|20240006
2024-08-31|202408|ACCT-NO-100004|1002|102|5|227716.35|228920.87|6286.7|7491.22|5|5|42.38|343.38|NOK|20240007
2024-09-30|202409|ACCT-NO-100004|1002|102|5|230517.03|234369.27|5095.42|8947.66|6|6|25.05|351.55|NOK|20240008
2024-10-31|202410|ACCT-NO-100004|1002|102|5|233317.71|239817.67|3904.14|10404.1|7|7|27.73|359.73|NOK|20240009
2024-11-30|202411|ACCT-NO-100004|1002|102|5|236118.39|245266.07|2712.86|11860.54|8|3|30.4|367.9|NOK|20240010
2024-12-31|202412|ACCT-NO-100004|1002|102|5|265919.07|260714.47|9521.58|4316.98|9|4|48.07|391.07|NOK|20240011
2025-01-31|202501|ACCT-NO-100004|1002|102|5|268719.75|266162.87|8330.3|5773.42|10|5|30.74|399.24|NOK|20240012
2025-02-28|202502|ACCT-NO-100004|1002|102|5|271520.43|271611.27|7139.02|7229.86|11|6|33.42|407.42|NOK|20240013
2025-03-31|202503|ACCT-NO-100004|1002|102|5|274321.11|277059.67|5947.74|8686.3|5|7|36.09|415.59|NOK|20240014
2025-04-30|202504|ACCT-NO-100004|1002|102|5|277121.78|282508.07|4756.45|10142.74|6|3|38.76|423.76|NOK|20240015
2025-05-31|202505|ACCT-NO-100004|1002|102|5|279922.46|287956.47|3565.17|11599.18|7|4|21.43|431.93|NOK|20240016
2025-06-30|202506|ACCT-NO-100004|1002|102|5|309723.14|303404.87|10373.89|4055.62|8|5|39.11|455.11|NOK|20240017
2025-07-31|202507|ACCT-NO-100004|1002|102|5|312523.82|308853.27|9182.61|5512.06|9|6|41.78|463.28|NOK|20240018
2025-08-31|202508|ACCT-NO-100004|1002|102|5|315324.5|314301.67|7991.33|6968.5|10|7|44.45|471.45|NOK|20240019
2025-09-30|202509|ACCT-NO-100004|1002|102|5|318125.18|319750.07|6800.05|8424.94|11|3|27.13|479.63|NOK|20240020
2025-10-31|202510|ACCT-NO-100004|1002|102|5|320925.86|325198.47|5608.77|9881.38|5|4|29.8|487.8|NOK|20240021
2025-11-30|202511|ACCT-NO-100004|1002|102|5|323726.54|330646.87|4417.49|11337.82|6|5|32.47|495.97|NOK|20240022
2025-12-31|202512|ACCT-NO-100004|1002|102|5|326527.22|336095.27|3226.21|12794.26|7|6|35.14|504.14|NOK|20240023
2024-01-31|202401|ACCT-NO-100005|1003|201|1|215383.19|209215.99|9372.8|3205.6|5|3|33.82|313.82|NOK|20240000
2024-02-29|202402|ACCT-NO-100005|1003|201|1|219183.86|215664.39|8181.52|4662.05|6|4|36.5|323.5|NOK|20240001
2024-03-31|202403|ACCT-NO-100005|1003|201|1|222984.54|222112.79|6990.24|6118.49|7|5|39.17|333.17|NOK|20240002
2024-04-30|202404|ACCT-NO-100005|1003|201|1|226785.22|228561.19|5798.96|7574.93|8|6|41.84|342.84|NOK|20240003
2024-05-31|202405|ACCT-NO-100005|1003|201|1|230585.89|235009.59|4607.67|9031.37|9|7|24.51|352.51|NOK|20240004
2024-06-30|202406|ACCT-NO-100005|1003|201|1|234386.57|241457.99|3416.39|10487.81|10|3|27.19|362.19|NOK|20240005
2024-07-31|202407|ACCT-NO-100005|1003|201|1|265187.25|257906.39|10225.11|2944.25|11|4|44.86|386.86|NOK|20240006
2024-08-31|202408|ACCT-NO-100005|1003|201|1|268987.93|264354.79|9033.83|4400.69|5|5|47.53|396.53|NOK|20240007
2024-09-30|202409|ACCT-NO-100005|1003|201|1|272788.61|270803.19|7842.55|5857.13|6|6|30.2|406.2|NOK|20240008
2024-10-31|202410|ACCT-NO-100005|1003|201|1|276589.29|277251.59|6651.27|7313.57|7|7|32.88|415.88|NOK|20240009
2024-11-30|202411|ACCT-NO-100005|1003|201|1|280389.97|283699.99|5459.99|8770.01|8|3|35.55|425.55|NOK|20240010
2024-12-31|202412|ACCT-NO-100005|1003|201|1|284190.65|290148.39|4268.71|10226.45|9|4|38.22|435.22|NOK|20240011
2025-01-31|202501|ACCT-NO-100005|1003|201|1|287991.33|296596.79|3077.43|11682.89|10|5|20.9|444.9|NOK|20240012
2025-02-28|202502|ACCT-NO-100005|1003|201|1|318792.01|313045.19|9886.15|4139.33|11|6|38.57|469.57|NOK|20240013
2025-03-31|202503|ACCT-NO-100005|1003|201|1|322592.69|319493.59|8694.87|5595.77|5|7|41.24|479.24|NOK|20240014
2025-04-30|202504|ACCT-NO-100005|1003|201|1|326393.37|325941.99|7503.59|7052.21|6|3|43.91|488.91|NOK|20240015
2025-05-31|202505|ACCT-NO-100005|1003|201|1|330194.05|332390.39|6312.31|8508.65|7|4|26.59|498.59|NOK|20240016
2025-06-30|202506|ACCT-NO-100005|1003|201|1|333994.73|338838.79|5121.03|9965.09|8|5|29.26|508.26|NOK|20240017
2025-07-31|202507|ACCT-NO-100005|1003|201|1|337795.41|345287.19|3929.75|11421.53|9|6|31.93|517.93|NOK|20240018
2025-08-31|202508|ACCT-NO-100005|1003|201|1|368596.09|361735.59|10738.47|3877.97|10|7|49.6|542.6|NOK|20240019
2025-09-30|202509|ACCT-NO-100005|1003|201|1|372396.77|368183.99|9547.19|5334.41|11|3|32.28|552.28|NOK|20240020
2025-10-31|202510|ACCT-NO-100005|1003|201|1|376197.45|374632.39|8355.91|6790.85|5|4|34.95|561.95|NOK|20240021
2025-11-30|202511|ACCT-NO-100005|1003|201|1|379998.13|381080.79|7164.63|8247.29|6|5|37.62|571.62|NOK|20240022
2025-12-31|202512|ACCT-NO-100005|1003|201|1|383798.81|387529.19|5973.35|9703.73|7|6|40.29|581.29|NOK|20240023
2024-01-31|202401|ACCT-NO-100006|1003|201|3|240383.19|234215.99|9372.8|3205.6|5|3|33.82|351.32|NOK|20240000
2024-02-29|202402|ACCT-NO-100006|1003|201|3|245183.86|241664.39|8181.52|4662.05|6|4|36.5|362.5|NOK|20240001
2024-03-31|202403|ACCT-NO-100006|1003|201|3|249984.54|249112.79|6990.24|6118.49|7|5|39.17|373.67|NOK|20240002
2024-04-30|202404|ACCT-NO-100006|1003|201|3|254785.22|256561.19|5798.96|7574.93|8|6|41.84|384.84|NOK|20240003
2024-05-31|202405|ACCT-NO-100006|1003|201|3|259585.89|264009.59|4607.67|9031.37|9|7|24.51|396.01|NOK|20240004
2024-06-30|202406|ACCT-NO-100006|1003|201|3|264386.57|271457.99|3416.39|10487.81|10|3|27.19|407.19|NOK|20240005
2024-07-31|202407|ACCT-NO-100006|1003|201|3|296187.25|288906.39|10225.11|2944.25|11|4|44.86|433.36|NOK|20240006
2024-08-31|202408|ACCT-NO-100006|1003|201|3|300987.93|296354.79|9033.83|4400.69|5|5|47.53|444.53|NOK|20240007
2024-09-30|202409|ACCT-NO-100006|1003|201|3|305788.61|303803.19|7842.55|5857.13|6|6|30.2|455.7|NOK|20240008
2024-10-31|202410|ACCT-NO-100006|1003|201|3|310589.29|311251.59|6651.27|7313.57|7|7|32.88|466.88|NOK|20240009
2024-11-30|202411|ACCT-NO-100006|1003|201|3|315389.97|318699.99|5459.99|8770.01|8|3|35.55|478.05|NOK|20240010
2024-12-31|202412|ACCT-NO-100006|1003|201|3|320190.65|326148.39|4268.71|10226.45|9|4|38.22|489.22|NOK|20240011
2025-01-31|202501|ACCT-NO-100006|1003|201|3|324991.33|333596.79|3077.43|11682.89|10|5|20.9|500.4|NOK|20240012
2025-02-28|202502|ACCT-NO-100006|1003|201|3|356792.01|351045.19|9886.15|4139.33|11|6|38.57|526.57|NOK|20240013
2025-03-31|202503|ACCT-NO-100006|1003|201|3|361592.69|358493.59|8694.87|5595.77|5|7|41.24|537.74|NOK|20240014
2025-04-30|202504|ACCT-NO-100006|1003|201|3|366393.37|365941.99|7503.59|7052.21|6|3|43.91|548.91|NOK|20240015
2025-05-31|202505|ACCT-NO-100006|1003|201|3|371194.05|373390.39|6312.31|8508.65|7|4|26.59|560.09|NOK|20240016
2025-06-30|202506|ACCT-NO-100006|1003|201|3|375994.73|380838.79|5121.03|9965.09|8|5|29.26|571.26|NOK|20240017
2025-07-31|202507|ACCT-NO-100006|1003|201|3|380795.41|388287.19|3929.75|11421.53|9|6|31.93|582.43|NOK|20240018
2025-08-31|202508|ACCT-NO-100006|1003|201|3|412596.09|405735.59|10738.47|3877.97|10|7|49.6|608.6|NOK|20240019
2025-09-30|202509|ACCT-NO-100006|1003|201|3|417396.77|413183.99|9547.19|5334.41|11|3|32.28|619.78|NOK|20240020
2025-10-31|202510|ACCT-NO-100006|1003|201|3|422197.45|420632.39|8355.91|6790.85|5|4|34.95|630.95|NOK|20240021
2025-11-30|202511|ACCT-NO-100006|1003|201|3|426998.13|428080.79|7164.63|8247.29|6|5|37.62|642.12|NOK|20240022
2025-12-31|202512|ACCT-NO-100006|1003|201|3|431798.81|435529.19|5973.35|9703.73|7|6|40.29|653.29|NOK|20240023
2024-01-31|202401|ACCT-NO-100007|1003|201|6|265383.19|259215.99|9372.8|3205.6|5|3|33.82|388.82|NOK|20240000
2024-02-29|202402|ACCT-NO-100007|1003|201|6|271183.86|267664.39|8181.52|4662.05|6|4|36.5|401.5|NOK|20240001
2024-03-31|202403|ACCT-NO-100007|1003|201|6|276984.54|276112.79|6990.24|6118.49|7|5|39.17|414.17|NOK|20240002
2024-04-30|202404|ACCT-NO-100007|1003|201|6|282785.22|284561.19|5798.96|7574.93|8|6|41.84|426.84|NOK|20240003
2024-05-31|202405|ACCT-NO-100007|1003|201|6|288585.89|293009.59|4607.67|9031.37|9|7|24.51|439.51|NOK|20240004
2024-06-30|202406|ACCT-NO-100007|1003|201|6|294386.57|301457.99|3416.39|10487.81|10|3|27.19|452.19|NOK|20240005
2024-07-31|202407|ACCT-NO-100007|1003|201|6|327187.25|319906.39|10225.11|2944.25|11|4|44.86|479.86|NOK|20240006
2024-08-31|202408|ACCT-NO-100007|1003|201|6|332987.93|328354.79|9033.83|4400.69|5|5|47.53|492.53|NOK|20240007
2024-09-30|202409|ACCT-NO-100007|1003|201|6|338788.61|336803.19|7842.55|5857.13|6|6|30.2|505.2|NOK|20240008
2024-10-31|202410|ACCT-NO-100007|1003|201|6|344589.29|345251.59|6651.27|7313.57|7|7|32.88|517.88|NOK|20240009
2024-11-30|202411|ACCT-NO-100007|1003|201|6|350389.97|353699.99|5459.99|8770.01|8|3|35.55|530.55|NOK|20240010
2024-12-31|202412|ACCT-NO-100007|1003|201|6|356190.65|362148.39|4268.71|10226.45|9|4|38.22|543.22|NOK|20240011
2025-01-31|202501|ACCT-NO-100007|1003|201|6|361991.33|370596.79|3077.43|11682.89|10|5|20.9|555.9|NOK|20240012
2025-02-28|202502|ACCT-NO-100007|1003|201|6|394792.01|389045.19|9886.15|4139.33|11|6|38.57|583.57|NOK|20240013
2025-03-31|202503|ACCT-NO-100007|1003|201|6|400592.69|397493.59|8694.87|5595.77|5|7|41.24|596.24|NOK|20240014
2025-04-30|202504|ACCT-NO-100007|1003|201|6|406393.37|405941.99|7503.59|7052.21|6|3|43.91|608.91|NOK|20240015
2025-05-31|202505|ACCT-NO-100007|1003|201|6|412194.05|414390.39|6312.31|8508.65|7|4|26.59|621.59|NOK|20240016
2025-06-30|202506|ACCT-NO-100007|1003|201|6|417994.73|422838.79|5121.03|9965.09|8|5|29.26|634.26|NOK|20240017
2025-07-31|202507|ACCT-NO-100007|1003|201|6|423795.41|431287.19|3929.75|11421.53|9|6|31.93|646.93|NOK|20240018
2025-08-31|202508|ACCT-NO-100007|1003|201|6|456596.09|449735.59|10738.47|3877.97|10|7|49.6|674.6|NOK|20240019
2025-09-30|202509|ACCT-NO-100007|1003|201|6|462396.77|458183.99|9547.19|5334.41|11|3|32.28|687.28|NOK|20240020
2025-10-31|202510|ACCT-NO-100007|1003|201|6|468197.45|466632.39|8355.91|6790.85|5|4|34.95|699.95|NOK|20240021
2025-11-30|202511|ACCT-NO-100007|1003|201|6|473998.13|475080.79|7164.63|8247.29|6|5|37.62|712.62|NOK|20240022
2025-12-31|202512|ACCT-NO-100007|1003|201|6|479798.81|483529.19|5973.35|9703.73|7|6|40.29|725.29|NOK|20240023
2024-01-31|202401|ACCT-NO-100008|1004|301|1|66021.15|59452.28|9561.82|2992.95|5|3|34.18|89.18|NOK|20240000
2024-02-29|202402|ACCT-NO-100008|1004|301|1|63821.83|59900.68|8370.54|4449.39|6|4|36.85|89.85|NOK|20240001
2024-03-31|202403|ACCT-NO-100008|1004|301|1|61622.51|60349.08|7179.26|5905.83|7|5|39.52|90.52|NOK|20240002
2024-04-30|202404|ACCT-NO-100008|1004|301|1|59423.19|60797.48|5987.98|7362.27|8|6|42.2|91.2|NOK|20240003
2024-05-31|202405|ACCT-NO-100008|1004|301|1|57223.87|61245.88|4796.7|8818.71|9|7|24.87|91.87|NOK|20240004
2024-06-30|202406|ACCT-NO-100008|1004|301|1|55024.55|61694.28|3605.42|10275.15|10|3|27.54|92.54|NOK|20240005
2024-07-31|202407|ACCT-NO-100008|1004|301|1|52825.23|62142.68|2414.14|11731.59|11|4|30.21|93.21|NOK|20240006
2024-08-31|202408|ACCT-NO-100008|1004|301|1|77625.91|72591.08|9222.86|4188.03|5|5|47.89|108.89|NOK|20240007
2024-09-30|202409|ACCT-NO-100008|1004|301|1|75426.59|73039.48|8031.58|5644.47|6|6|30.56|109.56|NOK|20240008
2024-10-31|202410|ACCT-NO-100008|1004|301|1|73227.27|73487.88|6840.3|7100.91|7|7|33.23|110.23|NOK|20240009
2024-11-30|202411|ACCT-NO-100008|1004|301|1|71027.95|73936.28|5649.02|8557.35|8|3|35.9|110.9|NOK|20240010
2024-12-31|202412|ACCT-NO-100008|1004|301|1|68828.63|74384.68|4457.74|10013.79|9|4|38.58|111.58|NOK|20240011
2025-01-31|202501|ACCT-NO-100008|1004|301|1|66629.3|74833.07|3266.46|11470.23|10|5|21.25|112.25|NOK|20240012
2025-02-28|202502|ACCT-NO-100008|1004|301|1|91429.98|85281.47|10075.18|3926.67|11|6|38.92|127.92|NOK|20240013
2025-03-31|202503|ACCT-NO-100008|1004|301|1|89230.66|85729.87|8883.9|5383.11|5|7|41.59|128.59|NOK|20240014
2025-04-30|202504|ACCT-NO-100008|1004|301|1|87031.34|86178.27|7692.62|6839.55|6|3|44.27|129.27|NOK|20240015
2025-05-31|202505|ACCT-NO-100008|1004|301|1|84832.02|86626.67|6501.34|8295.99|7|4|26.94|129.94|NOK|20240016
2025-06-30|202506|ACCT-NO-100008|1004|301|1|82632.7|87075.07|5310.06|9752.43|8|5|29.61|130.61|NOK|20240017
2025-07-31|202507|ACCT-NO-100008|1004|301|1|80433.38|87523.47|4118.78|11208.87|9|6|32.29|131.29|NOK|20240018
2025-08-31|202508|ACCT-NO-100008|1004|301|1|105234.06|97971.87|10927.5|3665.31|10|7|49.96|146.96|NOK|20240019
2025-09-30|202509|ACCT-NO-100008|1004|301|1|103034.73|98420.27|9736.22|5121.76|11|3|32.63|147.63|NOK|20240020
2025-10-31|202510|ACCT-NO-100008|1004|301|1|100835.41|98868.67|8544.94|6578.2|5|4|35.3|148.3|NOK|20240021
2025-11-30|202511|ACCT-NO-100008|1004|301|1|98636.09|99317.07|7353.66|8034.64|6|5|37.98|148.98|NOK|20240022
2025-12-31|202512|ACCT-NO-100008|1004|301|1|96436.77|99765.47|6162.38|9491.08|7|6|40.65|149.65|NOK|20240023
2024-01-31|202401|ACCT-NO-100009|1005|401|1|91659.12|84688.56|9750.85|2780.29|5|3|34.53|127.03|NOK|20240000
2024-02-29|202402|ACCT-NO-100009|1005|401|1|90459.8|86136.96|8559.57|4236.73|6|4|37.21|129.21|NOK|20240001
2024-03-31|202403|ACCT-NO-100009|1005|401|1|89260.48|87585.36|7368.29|5693.17|7|5|39.88|131.38|NOK|20240002
2024-04-30|202404|ACCT-NO-100009|1005|401|1|88061.16|89033.76|6177.01|7149.61|8|6|42.55|133.55|NOK|20240003
2024-05-31|202405|ACCT-NO-100009|1005|401|1|86861.84|90482.16|4985.73|8606.05|9|7|25.22|135.72|NOK|20240004
2024-06-30|202406|ACCT-NO-100009|1005|401|1|85662.52|91930.56|3794.45|10062.49|10|3|27.9|137.9|NOK|20240005
2024-07-31|202407|ACCT-NO-100009|1005|401|1|84463.19|93378.96|2603.17|11518.94|11|4|30.57|140.07|NOK|20240006
2024-08-31|202408|ACCT-NO-100009|1005|401|1|110263.87|104827.36|9411.89|3975.38|5|5|48.24|157.24|NOK|20240007
